_id,CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,TcrNumber,CityDamageFlag,ShortFormFlag,Distance,CrashDateTime,PedestrianAction,RoadwaySurface,RoadwayCondition,Lighting,PrimaryCollisionFactor,TrafficControl,Weather,CollisionType,ProximityToIntersection,VehicleInvolvedWith,PedestrianDirectionFrom,PedestrianDirectionTo,DirectionFromIntersection,Comment,SpeedingFlag,HitAndRunFlag,IntersectionNumber,AStreetName,BStreetName,Latitude,Longitude
1814,699426,CR-0000100758,0,0,0,0,23-192-0871,True,False,787,7/11/2023 8:15:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dusk - Dawn,Violation Driver 1,No Controls Present/Factor,Clear,Hit Object,Non-Related,Fixed Object,Not Applicable,Not Applicable,South Of,LIGHTPOLE,True,False,137257,SAN FELIPE RD,SILVER OAK ST,37.28672948,-121.7635196
1815,682372,CR-0000091935,2,0,0,0,22-104-0547,False,False,160,4/14/2022 4:20:00 PM,No Pedestrians Involved,Wet,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Rain,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,South Of,,False,False,97547,OLSEN DR,WINCHESTER BL,37.31920125,-121.9501321
1816,690088,CR-0000096149,0,0,0,0,22-189-0511,False,True,51,7/8/2022 2:51:00 PM,No Pedestrians Involved,Dry,Construction - Repair Zone,Daylight,Unknown,Controls Functioning,Clear,Sideswipe,Non-Related,Other Vehicle,Not Applicable,Not Applicable,South Of,,False,False,97547,OLSEN DR,WINCHESTER BL,37.31920125,-121.9501321
1817,698860,CR-0000100143,1,0,0,0,23-364-0318,False,False,208,12/30/2023 11:59:00 AM,No Pedestrians Involved,Wet,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Cloudy,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,South Of,,False,False,97547,OLSEN DR,WINCHESTER BL,37.31920125,-121.9501321
1818,716345,CR-0000102367,1,0,0,0,24-045-0877,False,False,0,2/14/2024 9:58:00 AM,No Pedestrians Involved,Wet,Unknown,Dark - Street Light,Violation Driver 1,Controls Functioning,Cloudy,Vehicle/Bike,Intersection,Bike,Not Applicable,Not Applicable,At,BIKE,True,False,97547,OLSEN DR,WINCHESTER BL,37.31920125,-121.9501321
1819,690100,CR-0000096196,0,0,0,0,22-338-0746,False,False,29,12/4/2022 8:39:00 PM,No Pedestrians Involved,Wet,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Rear End,Related,Other Vehicle,Not Applicable,Not Applicable,West Of,,True,False,78088,JUNIPERO SERRA FR,MOORPARK AV,37.31612483,-121.9514146
1820,690287,CR-0000096379,0,0,0,0,22-309-4005,False,False,0,11/5/2022 6:45:00 AM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,True,78088,JUNIPERO SERRA FR,MOORPARK AV,37.31612483,-121.9514146
1821,716194,CR-0000102132,0,0,0,0,24-029-0454,False,False,34,1/29/2024 1:22:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,False,False,78088,JUNIPERO SERRA FR,MOORPARK AV,37.31612483,-121.9514146
1822,699466,CR-0000100771,0,0,0,0,23-191-0642,True,False,53,7/10/2023 3:40:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Hit Object,Non-Related,Fixed Object,Not Applicable,Not Applicable,North Of,SIGN,True,True,92399,MONROE ST,TISCH WY,37.31757597,-121.9433113
1823,716198,CR-0000102173,3,0,0,0,24-036-0581,False,False,106,2/5/2024 3:30:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,West Of,,True,False,97789,ORCHID WY,WILLIAMS RD,37.30820954,-121.9739718
1824,694610,CR-0000098643,1,0,0,0,23-205-0437,False,False,0,7/24/2023 12:35:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Rear End,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,True,False,50710,DESERT ISLE DR,OLGA DR,37.31065597,-121.974938
1825,690011,CR-0000096059,0,0,0,0,22-283-0892,False,False,50,10/10/2022 9:10:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Head On,Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,False,False,73743,HOPETON AV,MIDPINE AV,37.31752029,-121.837618
1826,698629,CR-0000099853,0,0,0,0,23-146-0456,False,False,49,5/26/2023 1:50:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,True,True,7677,ANNONA AV,WAVERLY AV,37.32922048,-121.8239902
1827,699096,CR-0000100413,0,0,0,0,23-156-0054,False,False,,6/6/2023 1:16:00 AM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sideswipe,Related,Parked Vehicle,Not Applicable,Not Applicable,Unknown,,False,True,97833,ORLANDO DR,PALMIRA WY,37.32563194,-121.8278954
1828,681561,CR-0000090958,0,0,0,0,22-041-0386,False,False,374,2/10/2022 11:06:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Head On,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,False,False,95150,NEEDLES DR,SENTER RD,37.31621307,-121.8565639
1829,680495,CR-0000089737,0,0,0,1,22-040-0779,False,False,188,2/9/2022 5:53:00 PM,In Road - Includes Shoulder,Dry,No Unusual Conditions,Daylight,Pedestrian At Fault,No Controls Present/Factor,Clear,Vehicle/Pedestrian,Non-Related,Pedestrian,No Direction (Not Walking),No Direction (Not Walking),South Of,Delayed Fatal 02/20/2022,False,False,95150,NEEDLES DR,SENTER RD,37.31621307,-121.8565639
1830,685116,CR-0000093789,0,1,0,0,22-233-0484,False,False,285,8/21/2022 1:19:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Bike At Fault,No Controls Present/Factor,Clear,Vehicle/Bike,Non-Related,Scooter Motorized,Not Applicable,Not Applicable,South Of,Moto Scooter,True,False,95150,NEEDLES DR,SENTER RD,37.31621307,-121.8565639
1831,698765,CR-0000100046,1,0,0,0,23-361-0618,False,False,0,12/27/2023 4:08:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Bike At Fault,Controls Functioning,Cloudy,Vehicle/Bike,Intersection,Bike,Not Applicable,Not Applicable,At,BIKE,False,False,95150,NEEDLES DR,SENTER RD,37.31621307,-121.8565639
1832,691302,CR-0000097547,2,0,0,0,23-011-0654,False,False,0,1/11/2023 3:47:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Unknown,Controls Functioning,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,95150,NEEDLES DR,SENTER RD,37.31621307,-121.8565639
1833,716309,CR-0000102295,1,0,0,0,24-032-0435,False,False,0,2/1/2024 1:11:00 PM,No Pedestrians Involved,Wet,No Unusual Conditions,Daylight,Bike At Fault,Controls Functioning,Cloudy,Vehicle/Bike,Intersection,Bike,Not Applicable,Not Applicable,At,BIKE,False,False,95150,NEEDLES DR,SENTER RD,37.31621307,-121.8565639
1834,682252,CR-0000091829,0,0,0,0,22-126-0466,False,False,51,5/6/2022 2:47:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Non-Related,Other Vehicle,Not Applicable,Not Applicable,West Of,,False,True,27169,BURKE ST,SENTER RD,37.31132814,-121.8512189
1835,692494,CR-0000097782,0,0,0,0,23-074-1000,True,False,0,3/15/2023 10:38:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Hit Object,Intersection,Fixed Object,Not Applicable,Not Applicable,At,LIGHT POLE,True,False,27169,BURKE ST,SENTER RD,37.31132814,-121.8512189
1836,689904,CR-0000095932,1,0,0,0,22-356-0431,False,False,200,12/22/2022 12:50:00 PM,In Road - Includes Shoulder,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Unknown,Clear,Vehicle/Pedestrian,Non-Related,Scooter Non-Motorized,North,South,South Of,SCOOTER (PED),False,True,27169,BURKE ST,SENTER RD,37.31132814,-121.8512189
1837,682329,CR-0000091892,0,0,0,0,22-100-9703,False,True,,4/8/2022 6:30:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Unknown,No Controls Present/Factor,Clear,Broadside,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,False,False,27170,BURKE ST,TENTH ST,37.30874704,-121.854997
